a n t a r a ṇ ē	Sanskrit-derived
a n t a r a k ṣ a	Sanskrit-derived
a n t a r ā ō	Sanskrit-derived
a n t a r ā y a	Sanskrit
a n t a r ā ḷ a	Sanskrit-derived
a n t a r ā k ṣ a	Sanskrit-derived
a n t a r y ā g a	Sanskrit
a n t a r v a t t i	Sanskrit-derived
a t a s ī	Sanskrit
a n t ā p u r a	Sanskrit-derived
a t i k ā ḷ a	Sanskrit-derived
a t i k r a m a ṇ ē	Sanskrit-derived
a t i k r ā n t a	Sanskrit
a t i c ā r a	Sanskrit
a t i c ē ṣ ṭ ā	Sanskrit
a t i t a	Sanskrit-derived
a t i p r a s a ṅ g a	Sanskrit
a t i b h ā r a	Sanskrit
a t i y u k t i	Sanskrit-derived
a t i r a s a	Sanskrit
a t i v ā h i k a	Sanskrit-derived
a t i s ē ṃ s ī m	Sanskrit-derived
a t i s ō	Sanskrit-derived
a t i k ṣ ē t ṛ	Sanskrit-derived
a t ī	Sanskrit-derived
a t ī t a	Sanskrit
a t ī t a	Sanskrit-derived
a t ī t v a	Sanskrit-derived
a t u ṭ a	Sanskrit-derived
a t u r a	Sanskrit-derived
a n t u r a	Sanskrit-derived
a n t u r a n ā y a k a	Sanskrit-derived
a t u r a p a ṇ a	Sanskrit-derived
a t u r a b a ḷ ī	Sanskrit-derived
a n t u r ī	Sanskrit-derived
a t u ḷ a b a ḷ ī	Sanskrit-derived
a n t ē j a	Sanskrit-derived
a t ē l ī	Sanskrit-derived
a n t ō r ī	
a n t a u r a	Sanskrit-derived
a n t a u r ī	Sanskrit-derived
a n t y a	Sanskrit
a t y a n t a ṇ ē	Sanskrit-derived
a t r a	
a n t r a p ā ṭ a	Sanskrit-derived
a n t r a m ā ḷ a	Sanskrit-derived
a n t r ā ḷ a	Sanskrit-derived
a n t r ā k ṣ a	Sanskrit-derived
a t h a	Sanskrit
a t h a r v a ṇ a	Sanskrit-derived
a t h a v ā	Sanskrit-derived
a t h ā u	Sanskrit-derived
a n t h u r a ṇ a	Sanskrit-derived
a d a ē	Sanskrit-derived
a d a ṭ a	
a d a b h ū t a	Sanskrit-derived
a d a y ē	Sanskrit-derived
a d a ḷ a p a ṇ a	
a d ā t ā	Sanskrit-derived
a d ī k a	Sanskrit-derived
a n d u	Sanskrit-derived
a d u b h a ṇ ī	Sanskrit-derived
a d u h a n a	Sanskrit-derived
a d ṛ ṣ ṭ a	Sanskrit-derived
a d ṛ ṣ ṭ a s ē v ā	Sanskrit
a d ṛ ṣ ṭ ā r t h ī	Sanskrit-derived
a d ē k h a ṇ ā	Sanskrit-derived
a d ē k h a ṇ ē m	Sanskrit-derived
a d ē h a	Sanskrit-derived
a d b h u t a	Sanskrit-derived
a d y ē h a	Sanskrit-derived
a d r a k a t v a c ā	Sanskrit-derived
a d r i ṣ ṭ a	Sanskrit-derived
a d r i ṣ ṭ ā r t h ī y ā	Sanskrit-derived
a d v ī t a	Sanskrit-derived
a d h a	Sanskrit-derived
a d h a	Sanskrit-derived
a n d h a	Sanskrit
a n d h a	
a d h a u r d h a	Sanskrit-derived
a n d h a k ū p a	Sanskrit-derived
a n d h a t a m a	Sanskrit-derived
a d h a m a t i	Sanskrit-derived
a d h a m u r a	Sanskrit-derived
a d h a r a t ī	Sanskrit-derived
a d h a r a n i r y ā s a	
a d h a s t a	Sanskrit-derived
a n d h ā k ā r a	Sanskrit-derived
a d h i k a t v ē m	Sanskrit-derived
a d h i k a r a ṇ a	Sanskrit
a d h i k a r a ṇ ē	Sanskrit-derived
a d h i k a v ṛ t t i	Sanskrit
a d h i k ā ō	Sanskrit-derived
a d h i k ā r a	Sanskrit
a d h i k ā r i	Sanskrit-derived
a d h i k ā r y ā	Sanskrit-derived
a d h i k ā r y ē	Sanskrit-derived
a d h i d a i v a	Sanskrit
a d h i p ā y a t ā	Sanskrit-derived
a d h i b h ū t a	Sanskrit
a d h i y a j ñ a	Sanskrit
a d h i v ā s a	Sanskrit
a d h i v i k ṣ ē p a	Sanskrit-derived
a d h i ṣ ṭ ā	Sanskrit-derived
a d h i ṣ ṭ ā n a	Sanskrit-derived
