a
agnaukaraṇa
agnyagāra
agra
agrakara
agraṇī
agratas
agratoratha
agranakha
agraśas
agrasandhyā
agrasara
agraha
agrahaṇa
agrahasta
agrahāra
agrākṣan
agrānīka
agrāmyabhojin
agrāśana
agrāhin
agrāhya
agrima
agriya
agru
agrega
agredidhiṣu
agrepā
agresara
agrya
agryatapas
agha
aghaṭita
aghamarṣaṇa
agharma
aghavighātakartṛ
aghaśaṃsa
aghaśaṃsin
aghāyu
aghṛṇa
aghṛṇin
aghora
aghoraghaṇṭa
aghnat
aghrya
aghreya
aṅ
aṅka
aṅkana
aṅkapāta
aṅkaya
aṅkalakṣaṇa
aṅkas
aṅkāvatāra
aṅkāsya
aṅkura
aṅkuraṇa
aṅkuraya
aṅkuravat
aṅkurita
aṅkuśa
aṅkuśin
aṅkeśaya
aṅkola
aṅkte
aṅkya
aṅkhaya
aṅg
aṅga
aṅga
aṅga
aṅgakriyā
aṅgaglāni
aṅgaja
aṅgaṇa
aṅgatva
aṅgada
aṅgana
aṅganā
aṅgabandhana
aṅgamejayatva
aṅgayaṣṭi
aṅgarakṣaka
aṅgavākpāṇimat
aṅgavikāra
aṅgāṅgi
aṅgānukūla
aṅgāra
aṅgāraka
aṅgārakāraka
aṅgārin
aṅgin
aṅgira
aṅgīkaraṇa
aṅgīkāra
aṅgīkṛ
aṅguri
aṅgurīyaka
aṅagula
aṅguli
aṅgulikā
aṅgulitra
aṅguliparvan
aṅgulī
aṅgulīya
aṅgulyagra
aṅguṣṭha
aṅguṣṭhaparvan
aṅguṣṭhya
aṅghri
am
ac
ac
acakita
acakṣurviṣaya
acakṣus
acaṇḍa
acandana
acara
acarama
acaramavayas
acarita
acala
acaladatta
acalana
acalapura
acalendra
acaleśvara
acāpalya
acikitsanīya
acit
acitta
acitti
acitra
acintanīya
acintā
acintita
acintya
acira
aciradyuti
aciroḍhā
acetana
acetas
acetita
aceṣṭa
acaitanya
acodyamāna
accha
accha
acchanda
acchala
acchāccha
acchānta
acchidra
acchinna
acchedya
acyuta
aj
aja
aja
aja
ajagara
ajagalastana
ajaghanya
ajaḍa
ajana
ajanani
ajanāgrīya
ajanman
ajapa
ajamāyu
ajayya
ajara
ajarat
ajarāja
ajarāmaratva
ajarya
ajalpat
ajavīthī
ajasra
ajahallakṣaṇā
ajā
ajāta
ajātapakṣa
ajātāri
ajāti
ajānat
ajāmi
ajāvi
ajāśva
ajigīṣa
ajita
ajitātman
ajitāpīḍa
ajitendriya
ajina
ajināvatī
ajira
ajihma
ajihmaga
ajīgar
ajīgarta
ajīta
ajīti
ajīrṇa
ajīrṇin
ajīrti
ajīva
ajīvat
ajīvita
ajugupsita
ajur
ajurya
ajuṣṭa
ajeya
ajaikapād
ajjukā
ajña
ajñatā
ajñāta
ajñāti
ajñātvā
ajñāna
ajñānatas
ajñānārtha
ajñās
ajñeya
ajma
ajyāni
ajyeṣṭha
ajra
añc
añc
añcala
añcu
añj
añjana
añjanaka
añjanavat
añjali
añjalīkṛ
añjas
añjaḥsava
añji
aṭ
aṭ
aṭ
aṭana
aṭani
aṭavī
aṭṭa
aṭṭahāsa
aṭṭālaka
aṭyā
aṇ
aṇ
aṇikartṛ
aṇiman
aṇiṣṭha
aṇīyas
aṇu
aṇḍa
aṇyanta
aṇvī
at
at
ataṭa
atattva
atatpara
atathocita
atathya
atanu
atanubala
atandrita
atapas
atamisra
atarucchāya
atarkita
atarkin
atarkya
atala
atas
atātparyavid
ati
atikaṭhora
atikala
atikalyam
atikalyāṇa
atikaṣṭa
atikātara
atikutūhala
atikupita
atikṛcchra
atikopa
atikopana
atikrama
atikramaṇa
atikramaṇīya
atikramin
atikrānta
atikrudh
atikrūra
atikleśa
atiga
atigambhīra
atigarīyas
atigardha
atigahana
atiguṇa
atigupta
atiguru
atighana
atighora
atiṅ
aticatura
aticāpalya
aticāra
aticitram
aticiram
aticirasya
aticchandas
atijagatī
atijaṭhara
atijana
atijava
atijāta
atijitakāśin
atijīrṇatā
atijīvanmṛtaka
atitapasvin
atitara
atitarām
atitānava
atitārin
atititīrṣu
atitud
atitṛpti
atitṛṣṇa
atitṛṣṇā
atitejas
atitvarita
atithi
atithin
atithipūjana
atidarpa
atidarpita
atidahanātmaka
atidātṛ
atidāna
atidāha
atidīrgha
atiduḥkhānvita
atiduḥkhita
atidurgama
atidurjana
atidurdharṣa
atidurbala
atidurmanas
atidurmanāyamāna
atidurvaha
atidurvṛtta
atiduḥśrava
atiduṣkara
atidustara
atidūra
atideśa
atidvaya
atidhavala
atidhṛti
atināṣṭra
atinicṛt
atinibhṛtam
atinirghṛṇa
atiniṣkaruṇa
atiniṣṭhura
atiniṣṇāta
atinīcais
atinṛśaṃsa
atinairantarya
atipatti
atiparikṣata
atiparicaya
atiparuṣa
atipāta
atipātin
atipādanicṛt
atipinaddha
atipiśuna
atipīḍana
atipuṇya
atipūra
atipūrva
atipauruṣa
atiprakāśa
atiprage
atipracaṇḍa
atiprabandha
atiprabala
atipramāṇa
atiprayukta
atipraveśa
atipraśasta
atiprasakti
atiprākṛta
atipriya
atibala
atibhaya
atibhāra
atibhīṣaṇa
atibhū
atibhūmi
atibhūri
atibhṛt
atibhairava
atimañjula
atimatimat
atimada
atimalina
atimahat
atimātra
atimāna
atimānin
atimānuṣa
atimāruta
atimukhara
atiyatna
atiraṃhas
atiraktatā
atiraskṛta
atirātra
atiruṣ
atireka
atirocamāna
atirohitatva
atilaṅghin
atilalita
atilubdha
atiloma
ativatsala
ativāta
ativigarhya
ativigrahin
ativitatha
atividhura
ativiparyaya
ativirājin
ativilamba
ativiṣama
ativīra
ativīryaparākrama
ativīryavat
ativṛtta
ativega
ativaicakṣaṇya
ativaiṣamya
ativyaya
atiśakra
atiśakvarī
atiśaṅkita
atiśaṭha
atiśaya
atiśayita
atiśayin
atiśayopamā
atiśastra
atiśāta
atiśāyin
atiśithila
atiśiśira
atiśīghra
atiśīta
atiśuddha
atiśūra
atiśauca
atiśrama
atiṣkand
atiṣṭhat
atisakti
atisakhi
atisaṅkaṭa
atisatvaram
atisadaya
atisadṛśa
atisantata
atisandheya
atisannidhāna
atisamartha
atisamīpa
atisambhoga
atisambhrama
atisarasa
atisarga
atisarpaṇa
atisarva
atisaviśaṅkam
atisahasā
atisāṃvatsara
atisādhvasa
atisāndra
atisāyam
atisāra
atisāhasa
atisitāṅgavihaṅga
atisukha
atisūkṣma
atisṛṣṭi
atisaujanya
atisneha
atiharṣula
atihasita
atihārin
atihṛṣṭa
atihrepaṇa
atīkāśa
atīkṣṇa
atīta
atīndriya
atīrtha
atīva
atīvra
atula
atuṣārakara
atuṣṭa
atuṣṭi
atūtuji
atṛṇa
atṛpṇuvat
atṛpta
atṛpyat
atṛṣṇa
atailapūra
atonimittam
ato’rtham
atka
attavya
attṛ
atya
atyaccha
atyanta
atyambupāna
atyaya
atyartha
atyalpa
atyaśnat
atyaṣṭi
atyasita
atyākula
atyāga
atyāgin
atyācāra
atyājya
atyādara
atyāditya
atyāścarya
atyāsaṅga
atyāsanna
atyāhita
atyukti
atyugra
atyucca
atyucchrita
atyutka
atyupacāra
atyuṣṇa
atyūrjasvala
atyūrjitam
atyṛju
atyautsukya
atra
atra
atratya
atran
atrapa
atrabhavat
atrasta
atrastha
atrāsita
atri
atrin
atrivat
atrivarṣa
atvara
atvarā
atha
atharvan
atharvaveda
atharvāṅgiras
atho
ad
adakṣiṇa
adakṣiṇa
adaṇḍya
adat
adatta
adattādāna
adattvā
adadat
adadhi
adana
adant
adanta
adantajāta
adabdha
adabha
adabhra
adambha
adambhin
adaya
adarśana
adarśanībhū
adarśanīya
adas
adākṣiṇya
adātṛ
adāditva
adāna
adābhya
adāyāda
adāruṇa
adāsa
adāhya
aditi
aditi
aditsat
aditsu
adiprabhṛti
adīna
adīyamāna
adīrgha
adurga
adurmaṅgala
adurvṛtta
aduṣṭa
aduṣprāpa
adūna
adūra
adūṣaṇa
adūṣita
adṛḍha
adṛpita
adṛśya
adṛṣṭa
adṛṣṭidāna
adṛṣṭvā
adeya
adeva
adevajuṣṭa
adevara
adeśa
adeśakāla
adeśajña
adehabandha
adaiva
adoṣa
adga
addhā
adbhis
adbhuta
adbhutāya
adbhyas
adman
admasad
adya
adyatana
adyadina
adyadivasa
adyaut
adravya
adri
adrivat
adruh
adrogha
adroha
advaya
advitīya
advivarṣa
adveṣarāgin
adveṣṭṛ
advaita
advaidha
mdha
adhaḥkriyā
adhaḥkhanana
adhaḥpāta
adhaḥpātita
adhana
adhanya
adhama
adhamādhama
adhara
adharāñc
adharāt
adharāmbara
adharāraṇi
adharīkṛ
adharottara
mdharoṣṭha
adharma
adharmaṇa
adharmika
adharmiṣṭha
adharmya
adharṣaṇa
adharṣaṇīya
adhaścaraṇāvapāta
adhaḥśaya
adhaḥśāyin
adhas
adhastala
adhastāt
adhaḥstha
adhāraṇaka
adhārāvarṣa
adhārmika
adhārya
adhi
adhika
adhikandharam
adhikaraṇa
adhikarūpavat
adhikarṇam
adhikavayas
adhikaṣṭa
adhikāṅga
adhikāra
adhikāritā
adhikārin
adhikṛta
adhiketanam
adhikokti
adhikṣepa
adhigantavya
adhigama
adhigamya
adhiguṇa
adhigoptṛ
adhijanana
adhijānu
adhijya
adhitalpam
adhityakā
adhidīdhiti
adhideva
adhidaiva
adhināgam
adhiniśam
adhipa
adhipuruṣa
adhipauruṣa
adhibādhitṛ
adhibubhūṣu
adhibhū
adhibhūta
adhimanthana
adhimātra
adhiyajña
adhirajani
adhiratha
adhirāj
adhirukmamandiragavākṣam
adhiruh
adhiroḍhavya
adhiropaṇa
adhiroha
adhirohin
adhilaṅkam
adhilavaṅgam
adhiloka
adhivaktṛ
adhivakṣas
adhivapana
adhivarcas
adhivarjana
adhivasati
adhivāka
adhivāda
adhivāsa
adhivāsa
adhivijñāna
adhivinna
adhivivāham
adhivīra
adhivettavyā
adhivelam
adhiveśma
adhiśrī
adhiśrotram
adhiṣavaṇa
adhiṣṭhātṛ
adhiṣṭhāna
adhiṣṭhita
adhisenāpati
adhihasti
adhīk
adhīkāra
adhīta
adhīti
adhītin
adhīna
adhīra
adhīram
adhīrākṣa
adhīvāsa
adhīśa
adhīśitṛ
adhunā
adhṛti
adhṛṣṭa
adhṛṣya
adhenu
adhairya
adho’ṃśuka
adho’kṣa
adho’kṣaja
adhogata
adho’vekṣin
adhauta
adhyaṃsa
adhyakṣa
adhyagni
adhyadhikṣepa
adhyadhīna
adhyadhvam
adhyantena
adhyayana
adhyardha
adhyavasāna
adhyavasāyita
adhyavasāyin
adhyavasita
adhyākāśam
adhyācāra
adhyāṇḍā
adhyātma
adhyāpaka
adhyāpana
adhyāpaya
adhyāpya
adhyāya
adhyāropa
adhyāvāhanika
adhyāsa
adhyāsita
adhyāsitavya
adhyāsin
adhyāhāra
adhyāhārya
adhyuras
adhyuṣita
adhyūḍha
adhyetavya
adhyeṣaṇa
adhri
adhruva
adhvakheda
adhvan
adhvanya
adhvapa
adhvara
adhvaryu
adhvaśrama
adhvādhipa
an
ana
ana
anaṃśa
anakāmamāra
anakṣara
anagna
anagni
anagha
anaṅkurita
anaṅga
anaṅgīkṛta
anaḍudda
anaḍuha
anaḍvah
anaṇu
anatikṛcchreṇa
anatikrama
anatikramaṇīya
anatikrāmat
anatikruddha
anatithi
anatitrasnu
anatidagdha
anatidarśana
anatidūre
anatidbhuta
anatipakva
anatipātya
anatipīḍam
anatiprakāśaka
anatiprauḍha
anatibhaṅgura
anatibhoga
anatirikta
anatilambin
anatilulita
anatilolam
anativalita
anatiśayanīya
anatīta
anatyārdra
anatyāśa
anadat
anadbhuta
anadyatana
anadhikṛta
anadhigata
anadhigamanīya
anadhiṣṭhāna
anadhyakṣa
anadhyayana
anadhyātmavid
anadhyāya
anadhyāyin
anadhvanya
ananukampanīya
ananukūla
ananujñāta
ananutiṣṭhat
ananudhyāyin
ananubhāvaka
ananubhūta
ananumeya
ananurūpa
ananuvṛtti
ananuvrata
ananuṣṭhātṛ
ananuṣṭhāna
ananusandhāna
ananusaraṇa
ananūkta
ananūkti
ananūcya
ananūtthāna
ananṛta
ananta
anantara
anantaraja
anantarāya
anantavijaya
anantikastha
anantya
anandha
ananya
ananyagāmin
ananyathāvṛtti
ananyādṛśa
ananviṣyat
anapakarman
anapakārin
anapakṛta
anapakrama
anapakramin
anapakrāma
anapakriyā
anapatya
anapadeśya
anapanaya
anaparādha
anaparodha
anapaśabdam
anapasara
anapasphurat
anapākarman
anapākṛṣṭa
anapāyin
anapekṣa
anapekṣam
anapekṣamāṇa
anapekṣā
anapekṣita
anapekṣin
anapeta
anapoḍha
anapnas
anapsaras
anabhikhyātadoṣa
anabhigamanīya
anabhighāta
anabhicaraṇīya
anabhijāta
anabhijña
anabhijñāta
anabhijñeya
anabhitāpa
anabhidroha
anabhidhāna
anabhidhāyaka
anabhidhyā
anabhidhyeya
anabhiprīta
anabhibhavagandha
anabhibhāṣin
anabhimata
anabhimānuka
anabhimukha
anabhiyukta
anabhirūpa
anabhilulita
anabhivādya
anabhivyakta
anabhiśaṅka
anabhiśaṅkya
anabhiśasti
anabhiṣecanīya
anabhiṣvaṅga
anabhisaṃhitam
anabhisandhāna
anabhisandhi
anabhisneha
anabhihita
anabhihuta
anabhīkṣṇa
anabhīśu
anabhyanujñā
anabhyanujñāta
anabhyantara
anabhyarthanīya
anabhyāvartin
anabhyāvṛtti
anabhyāsa
anabhyutkruṣṭa
anabhyutthāyin
anabhyupāya
anabhra
anama
anamitapūrva
anamitralābha
anamīva
anamutra
anamra
anaya
anaya
anaraṇya
anargala
anargha
anarghya
anarcita
anartha
anarthitva
anarthya
anardhuka
anarva
anarha
anala
analaṅkṛta
analam
analasa
analasakha
analāya
analpa
anavakarṇita
anavakāśin
anavaklṛpta
anavaklṛpti
anavagata
anavacchinna
anavadya
anavadyāṅga
anavadhāna
anavana
anavapṛgṇa
anavabuddha
anavabhāsa
anavama
anavara
anavarata
anavarodhya
anavalambana
anavalepa
anavalokayat
anavasara
anavasitā
anavasthā
anavasthita
anavasthiti
anavahiṃsita
anavahita
anavāpta
anavāpti
anavāpya
anavekṣaka
anavekṣā
anaśana
anaśita
anaśnat
anaśnuvāna
anaśru
anaśva
anaśvara
anaṣṭapaśu
anas
anasūya
anastamita
anasthan
anasthika
anahaṅkṛta
anaharjāta
anā
anākampa
anākarṇita
anākasmika
anākula
anākṛṣṭa
anākramya
anākṣārita
anākhyāta
anākhyāya
anākhyeya
anāga
anāgacchat
anāgata
anāgamana
anāgas
anāgāstva
anāghrāta
anācakṣat
anācaraṇa
anācāra
anājñā
anājñāta
anātapa
anātura
anātmajña
anātmatva
anātman
anātmavat
anātreyī
anātha
anātha
anādara
anādaraṇa
anādi
anādiṣṭa
anādīnava
anādṛta
anādṛtya
anādeya
anādeśa
anādya
anādyananta
anādyanta
anādhi
anādhṛṣṭa
anādhṛṣya
anānata
anāpad
anāpi
anāpta
anāpti
anāptṛ
anāpnuvat
anāpya
anāmaya
anāmikā
anāmukta
anāmṛṣṭa
anāmnāya
anāmya
anāya
anāyaka
anāyata
anāyatikṣama
anāyatta
anāyasita
anāyāta
anāyāsa
anāyudha
anāyuṣya
anārabhya
anāruddha
anāruhya
anārūḍha
anārogya
anārjava
anārya
anārṣa
anārṣeya
anāla
anālakṣya
anālapana
anālasya
anālīḍha
anālocita
anālocya
anāvartin
anāvādi
anāviddha
anāvila
anāviṣkṛta
anāvṛt
anāvṛta
anāvṛṣṭi
anāśa
anāśa
anāśaka
anāśāsya
anāśita
anāśin
anāśin
anāśiṣṭha
anāśis
anāśu
anāśrama
anāśraya
anāśraya
anāśrava
anāśrita
anāśvas
anāṣṭra
anāsanna
anāsavākhya
anāsādayat
anāstika
anāstīrṇa
anāsthā
anāsvādita
anāhata
anāhāra
anāhitāgni
anāhūta
anāhvāna
aniketa
anikṣipta
anigaḍa
anigraha
anicaya
anicchat
anicchā
aniṭ
anitya
anityam
anityātman
anidāghadīdhiti
anidāna
anidit
anidra
anidrā
anindat
anindā
anindita
anipuṇa
anibaddha
anibhṛta
animitta
animiṣ
animiṣa
animiṣat
animeṣa
aniyata
aniyatātman
aniyantraṇa
aniyantraṇā
aniyama
aniyamopamā
aniyukta
aniyujyamāna
anirīkṣaka
anirukta
anirūpita
anirjita
anirṇikta
anirṇīta
anirdaya
anirdaśa
anirdiṣṭa
anirdeśa
anirdeśya
anirbandharuṣ
anirbhinna
anirbheda
anirloḍita
anirvacanīya
anirvarṇanīya
anirvācya
anirvṛta
anirvṛtta
anirveda
anirvedita
anirveśa
anirhāṇarca
anirhrādin
anila
anilaya
anilātmaja
anilāhati
anivartaka
anivartitva
anivāraṇa
aniviśamāna
anivṛttamāṃsa
anivṛtti
anivedya
aniśa
aniśānta
aniśita
aniścaya
aniścintya
aniśceya
aniḥśeṣita
aniṣavya
aniṣiddha
aniṣucārin
aniṣkaṣāya
aniṣkṛta
aniṣṭa
aniṣṭa
aniṣṭagandha
aniṣṭhura
aniṣpanna
aniḥsarat
aniha
anihata
anīka
anīca
anījāna
anīti
anītiśāstrajña
anīdṛgātman
anīpsita
anīraśana
anīrṣya
anīśa
anīśvara
anīhamāna
anīhita
anu
anukaccham
anukathana
anukanakhalam
anukampaka
anukampā
anukampokti
anukara
anukaraṇa
anukarṣa
anukāṅkṣin
anukīrtana
anukūla
anukūlaya
anukūlokta
anukṛti
anuklṛpti
anukta
anukrama
anukhyāti
anuga
anugīta
anugraha
anucara
anucita
anucita
anucintana
anucca
anuja
anujñā
anutaṭa
anutkīrṇa
anutta
anutta
anuttama
anudaka
anudarśa
anudātta
anudāra
anudāra
anudāsīna
anudita
anudita
anudina
anudivasam
anudeśa
anudghāta
anudyama
anudhāvana
anunaya
anunāda
anuniśam
anunīti
anuneya
anunmatta
anunmadita
anupakārin
anupakramya
anupaghnat
anupacarya
anupat‍trikā
anupadam
anupadin
anupadeṣṭavya
anupapatti
anupākṛta
anupāta
anupārata
anupālaka
anupālabhya
anupālin
anupūrva
anupūrva
anupekṣaṇa
anupeta
anuprapattavya
anuprahāram
anubandha
anubhava
anumata
anumā
anuyāja
anurakta
anurūpa
anulepa
anulbaṇa
anuvaṃśa
anuvāka
anuvāc
anuvelam
anuveśa
anuvyādha
anuśakti
anuśaya
anuṣaṅga
anuṣṭuti
anuṣṭubh
anuṣṭhātavya
anuṣṭhyā
anuṣṇa
anuṣvadham
anusantati
anusara
anustaraṇī
anūka
anūkāśa
anūcāna
anūcī
anūcīna
anūḍhā
anūtthita
anūdaka
anūna
anūpa
anūru
anūlā
anūṣivas
anṛkṣara
anṛta
anṛtika
aneka
anekānta
anekopavāsa
anedya
anenas
anoratha
anaucitya
anta
antaḥkaraṇa
antaka
antakara
antakāla
antama
antar
antara
antaragata
antaraṅga
antarajña
antarā
antarāgamana
antarāgāra
antarānveṣin
antarāya
antarāla
antarāvedi
antarikṣa
antarikṣaga
antarita
antarniviṣṭapada
antarindriya
antarīkṛ
antarīkṣa
antarīya
antaruṣya
antargata
antarjalacara
antarjānu
antardaśāha
antarbāṣpa
antaryāma
antarvaṃśika
antarhāsa
antarhita
antavat
antaścara
antaḥśalya
antasatkriyā
antastāpa
antaḥsañjña
antāvasāyin
anti
antika
antitas
antima
antevāsa
antodātta
antya
antra
andm
andolana
andolaya
andha
andhaka
andhakāra
andhakārita
andhakūpa
andhaya
andhavat
andhas
andhas
andhīkṛ
andhu
andhra
anna
annakāma
annāda
annārtha
annāvṛdh
anya
anyakartṛka
anyaṅgaśveta
anyacitta
anyatas
anyatā
anyatra
anyathā
anyathādarśana
anyadā
anyadīya
anyanimitta
anyarūpa
anyāṅkasupta
anyādṛkṣa
anyāya
anyāyin
anyāyya
anyārtha
anyūna
anyedyus
anyodarya
anyo’nya
anyopatāpin
anvakṣam
anvañc
anvaya
anvayin
anvartha
anvavekṣā
anvaṣṭakā
anvaham
anvādhi
anvita
anveṣa
anveṣin
ap
ap
ap
apa
apakartana
apakṛt
apakrama
apakva
apakṣa
apakṣaya
apakṣalopa
apaga
apagatatejaska
apagama
apagarjita
apaguṇa
apaghana
apaghana
apaghāta
apaghṛṇa
apaṅka
apacaya
apacita
apacchat‍tra
apajāta
apañcīkṛta
apaṭīkṣepa
apaṭu
apaṇḍita
apaṇya
apati
apatita
apativratā
apatuṣāra
apatnīka
apatya
apatrapaṇa
apatha
apathya
apad
apada
apada
apadāna
apadma
apadravya
apanaya
apanthadāyin
apannada
apapayas
apabhaya
apama
apayodharavāraṇa
apara
apara
aparakta
aparajaladhi
aparatas
aparatva
aparathā
aparadiś
aparapakṣa
aparaśuvṛkṇa
aparasparasambhūta
aparāga
aparāṅmukha
aparājita
aparāddha
aparādha
aparānta
aparārka
aparāvṛttabhāgadheya
aparāhla
aparikrama
aparicaya
aparituṣṭa
aparipakva
aparivādya
apariśaṅkita
aparihata
aparī
aparīkṣita
aparuṣ
aparuṣa
apareṇa
aparedyus
aparokṣa
aparokṣaya
aparṇa
apartu
aparyanta
aparyāṇa
aparyāpta
aparyāsita
aparyuṣita
aparvan
apalatābhavana
apavaktṛ
apavikṣata
apavrata
apaśaṅkam
apaścima
apaścima
apaśya
apaśyat
apaśrī
apaṣṭhu
apas
apas
apasada
apasnāna
apasya
apasyu
apaha
apahastaya
apahāra
apāka
apākariṣṇu
apākā
apākāt
apākṛti
apāṅkteya
apāṅktya
apāṅga
apācīna
apāñc
apāṇi
apāṇḍava
apātaka
apātta
apātra
apātrīkaraṇa
apādāna
apāna
apāpa
apāmpati
apāya
apāyin
apāra
apārayat
apārtha
apārthiva
apālayat
apāvṛta
apāśraya
api
apit
apitṛdevatya
apitrya
apitva
apidhāna
apinaddha
apivātayat
apiśasas
apihita
apīcya
apīḍayat
apīḍita
apīta
apuṃścalīya
apuṃs
apuṇyakṛt
aputra
aputrin
apunarukta
apunarnivartin
apunarbhāvin
apunarvṛtti
apuruṣāparādha
apurohita
apuṣkala
apuṣpa
apūjita
apūpa
apūraṇa
apūrva
apūrvin
apūrvya
apṛṇat
apṛthagbhūta
apṛthātmaja
apṛṣṭa
apekṣā
apekṣita
apekṣin
apekṣya
apeta
apeya
apelava
apaiśuna
apogaṇḍa
apoḍha
apoha
apaurādara
apcara
aptur
aptoryāma
aptaya
apnas
appati
apya
apyaya
aprakaṭīkṛta
aprakāśa
aprakāśat
apracetas
apracyuta
apraja
aprajña
aprajñāta
apraṇaya
apratarkya
aprati
apratikāra
apratigha
apratijñā
apratipatti
apratibaddha
apratima
apratimukta
apratiyogin
apratiratha
apratividhāna
apratiśāsana
apratiṣedha
apratiṣṭha
apratihata
apratīkāra
apratīta
apratīti
aprattā
apratyakṣa
apratyaya
apratyākhyāyin
apradakṣiṇam
apradāna
apradhāna
apradhṛṣya
aprabuddha
apramatta
apramā
aprayacchat
aprayatna
aprayukta
apralaya
apravaktṛ
apravāsagamana
apraśasta
aprasanna
aprahata
aprākṛta
aprājña
aprāṇa
aprādhānya
aprāpta
aprāpya
aprāmāṇya
aprārthita
aprāstāvika
apriya
apriyaṃvada
apriyakara
aprīti
aprekṣaṇīya
aprekṣāpūrvakārin
aprekṣya
aproṣita
aprauḍha
apsaras
apsarastīrtha
apsas
aphala
aphalgu
aphālakṛṣṭa
aphūtkārya
aphena
abaddha
abandhu
abandhura
abandhya
abandhra
abarha
abala
abalīyas
abahiṣkārya
abahubhāṣin
abādha
abāndhava
abālasattva
abāliśa
abālendu
abindhana
abīja
abuddha
abuddhi
abudha
abudhna
abudhya
abudhyamāna
abodha
abja
abjinī
abda
abdabhū
abdurga
abdaivata
abdhi
abbhakṣa
abrahmaṇya
abrahman
abrāhmaṇa
abruvat
abrūpa
abliṅga
abhakta
abhakṣya
abhaga
abhagnakāma
abhajyamāna
abhaṇita
abhadra
abhaya
abhayaṅkara
abhayaḍiṇḍima
abhavadīya
abhavya
abhāga
abhāgadheya
abhāgin
abhāgya
abhājana
abhāna
abhārya
abhāva
abhāvayat
